Data,Class
-357,0
-367,0
-297,0
-297,0
-297,0
-310,0
-394,0
-394,0
-394,0
-435,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
-237,0
